Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
PG-1734-1,HfPH6NO6,"['HfO2_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1735-1,Na2Hf2CO7,"['HfO2_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1738-1,Hf2Nb2O9,"['HfO2_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-1739-1,HfNiO3,"['HfO2_PG', 'NiO_PG']",1100.0,0.02,BF
PG-1740-1,HfPbO3,"['HfO2_PG', 'PbO_PG']",500.0,0.02,BF
PG-1834-1,In2PH6NO7,"['In2O3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1835-1,Na2In2CO6,"['In2O3_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1838-1,NbInO4,"['In2O3_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-1839-1,In2Ni2O5,"['In2O3_PG', 'NiO_PG']",1100.0,0.02,BF
PG-1840-1,In2Pb2O5,"['PbO_PG', 'In2O3_PG']",500.0,0.02,BF
PG-1934-1,K4PH12C2NO13,"['K2CO3(H2O)1.5_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-1935-1,K4Na4H6C4O15,"['K2CO3(H2O)1.5_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-1938-1,K4Nb4H6C2O19,"['K2CO3(H2O)1.5_PG', 'Nb2O5_PG']",500.0,0.02,BF
PG-1939-1,K4Ni4H6C2O13,"['K2CO3(H2O)1.5_PG', 'NiO_PG']",500.0,0.02,BF
PG-1940-1,K4H6Pb4C2O13,"['K2CO3(H2O)1.5_PG', 'PbO_PG']",500.0,0.02,BF
PG-2034-1,KP2H8NO8,"['NH4H2PO4_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-2035-1,K2Na2P2H4CO11,"['KH2PO4_PG', 'Na2CO3_PG']",200.0,0.02,BF
PG-2038-1,K2Nb2P2H4O13,"['KH2PO4_PG', 'Nb2O5_PG']",200.0,0.02,BF
PG-2039-1,KNiPH2O5,"['KH2PO4_PG', 'NiO_PG']",200.0,0.02,BF
PG-2040-1,KPH2PbO5,"['KH2PO4_PG', 'PbO_PG']",200.0,0.02,BF
PG-2134-1,LaPH9NO7,"['La(OH)3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2135-1,Na2La2H6CO9,"['La(OH)3_PG', 'Na2CO3_PG']",200.0,0.02,BF
PG-2138-1,La2Nb2H6O11,"['La(OH)3_PG', 'Nb2O5_PG']",200.0,0.02,BF
PG-2139-1,LaNiH3O4,"['La(OH)3_PG', 'NiO_PG']",200.0,0.02,BF
PG-2140-1,LaH3PbO4,"['La(OH)3_PG', 'PbO_PG']",200.0,0.02,BF
PG-2234-1,Li2PH6CNO7,"['Li2CO3_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2235-1,NaLiCO3,"['Li2CO3_PG', 'Na2CO3_PG']",400.0,0.02,BF
PG-2238-1,Li2Nb2CO8,"['Li2CO3_PG', 'Nb2O5_PG']",400.0,0.02,BF
PG-2239-1,Li2Ni2CO5,"['Li2CO3_PG', 'NiO_PG']",400.0,0.02,BF
PG-2240-1,Li2Pb2CO5,"['Li2CO3_PG', 'PbO_PG']",400.0,0.02,BF
PG-2434-1,LiPH9NO6,"['LiOH(H2O)_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2435-1,Na2Li2H6CO7,"['LiOH(H2O)_PG', 'Na2CO3_PG']",200.0,0.02,BF
PG-2438-1,Li2Nb2(H2O3)3,"['LiOH(H2O)_PG', 'Nb2O5_PG']",200.0,0.02,BF
PG-2439-1,LiNi(HO)3,"['LiOH(H2O)_PG', 'NiO_PG']",200.0,0.02,BF
PG-2440-1,LiH3PbO3,"['LiOH(H2O)_PG', 'PbO_PG']",200.0,0.02,BF
PG-1749-1,HfWO5,"['HfO2_PG', 'WO3_PG']",900.0,0.02,BF
PG-1750-1,Y2Hf2O7,"['HfO2_PG', 'Y2O3_PG']",1100.0,0.02,BF
PG-1751-1,HfZnO3,"['HfO2_PG', 'ZnO_PG']",1100.0,0.02,BF
PG-1752-1,HfZrO4,"['HfO2_PG', 'ZrO2_PG']",1100.0,0.02,BF
PG-1849-1,In2W2O9,"['In2O3_PG', 'WO3_PG']",900.0,0.02,BF
PG-1850-1,YInO3,"['In2O3_PG', 'Y2O3_PG']",1100.0,0.02,BF
PG-1851-1,Zn2In2O5,"['In2O3_PG', 'ZnO_PG']",1100.0,0.02,BF
PG-1852-1,Zr2In2O7,"['In2O3_PG', 'ZrO2_PG']",1100.0,0.02,BF
PG-1949-1,K4H6W4C2O21,"['K2CO3(H2O)1.5_PG', 'WO3_PG']",500.0,0.02,BF
PG-1950-1,K4Y4H6C2O15,"['K2CO3(H2O)1.5_PG', 'Y2O3_PG']",500.0,0.02,BF
PG-1951-1,K4Zn4H6C2O13,"['K2CO3(H2O)1.5_PG', 'ZnO_PG']",500.0,0.02,BF
PG-1952-1,K4Zr4H6C2O17,"['K2CO3(H2O)1.5_PG', 'ZrO2_PG']",500.0,0.02,BF
PG-2049-1,KPH2WO7,"['KH2PO4_PG', 'WO3_PG']",200.0,0.02,BF
PG-2050-1,K2Y2P2H4O11,"['KH2PO4_PG', 'Y2O3_PG']",200.0,0.02,BF
PG-2051-1,KZnPH2O5,"['KH2PO4_PG', 'ZnO_PG']",200.0,0.02,BF
PG-2052-1,KZrP(HO3)2,"['KH2PO4_PG', 'ZrO2_PG']",200.0,0.02,BF
PG-2149-1,LaH3WO6,"['La(OH)3_PG', 'WO3_PG']",200.0,0.02,BF
PG-2150-1,La2Y2(H2O3)3,"['La(OH)3_PG', 'Y2O3_PG']",200.0,0.02,BF
PG-2151-1,LaZnH3O4,"['La(OH)3_PG', 'ZnO_PG']",200.0,0.02,BF
PG-2152-1,LaZrH3O5,"['La(OH)3_PG', 'ZrO2_PG']",200.0,0.02,BF
PG-2249-1,Li2W2CO9,"['Li2CO3_PG', 'WO3_PG']",400.0,0.02,BF
PG-2250-1,Li2Y2CO6,"['Li2CO3_PG', 'Y2O3_PG']",400.0,0.02,BF
PG-2251-1,Li2Zn2CO5,"['Li2CO3_PG', 'ZnO_PG']",400.0,0.02,BF
PG-2252-1,Li2Zr2CO7,"['Li2CO3_PG', 'ZrO2_PG']",400.0,0.02,BF
PG-2449-1,LiH3WO5,"['LiOH(H2O)_PG', 'WO3_PG']",200.0,0.02,BF
PG-2450-1,Li2Y2H6O7,"['LiOH(H2O)_PG', 'Y2O3_PG']",200.0,0.02,BF
PG-2451-1,LiZn(HO)3,"['LiOH(H2O)_PG', 'ZnO_PG']",200.0,0.02,BF
PG-2452-1,LiZrH3O4,"['LiOH(H2O)_PG', 'ZrO2_PG']",200.0,0.02,BF
PG-1741-1,Hf2Sb2O7,"['HfO2_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-1743-1,HfSiO4,"['HfO2_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-1744-1,HfSnO4,"['HfO2_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-1745-1,SrHfCO5,"['HfO2_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-1746-1,HfTiO4,"['HfO2_PG', 'TiO2_PG']",1100.0,0.02,BF
PG-1747-1,Hf2V2O7,"['HfO2_PG', 'V2O3_PG']",1100.0,0.02,BF
PG-1748-1,Hf2V2O9,"['HfO2_PG', 'V2O5_PG']",400.0,0.02,BF
PG-1841-1,InSbO3,"['In2O3_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-1843-1,In2Si2O7,"['In2O3_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-1844-1,In2Sn2O7,"['In2O3_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-1845-1,Sr2In2C2O9,"['In2O3_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-1846-1,Ti2In2O7,"['In2O3_PG', 'TiO2_PG']",1100.0,0.02,BF
PG-1847-1,VInO3,"['In2O3_PG', 'V2O3_PG']",1100.0,0.02,BF
PG-1848-1,VInO4,"['In2O3_PG', 'V2O5_PG']",400.0,0.02,BF
PG-1941-1,K4Sb4H6C2O15,"['K2CO3(H2O)1.5_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-1943-1,K4Si4H6C2O17,"['K2CO3(H2O)1.5_PG', 'SiO2_PG']",500.0,0.02,BF
PG-1944-1,K4Sn4H6C2O17,"['K2CO3(H2O)1.5_PG', 'SnO2_PG']",500.0,0.02,BF
PG-1945-1,K4Sr4H6(C2O7)3,"['K2CO3(H2O)1.5_PG', 'SrCO3_PG']",500.0,0.02,BF
PG-1946-1,K4Ti4H6C2O17,"['K2CO3(H2O)1.5_PG', 'TiO2_PG']",500.0,0.02,BF
PG-1947-1,K4V4H6C2O15,"['K2CO3(H2O)1.5_PG', 'V2O3_PG']",500.0,0.02,BF
PG-1948-1,K4V4H6C2O19,"['K2CO3(H2O)1.5_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2041-1,K2Sb2P2H4O11,"['KH2PO4_PG', 'Sb2O3_PG']",200.0,0.02,BF
PG-2043-1,KSiP(HO3)2,"['KH2PO4_PG', 'SiO2_PG']",200.0,0.02,BF
PG-2044-1,KSnP(HO3)2,"['KH2PO4_PG', 'SnO2_PG']",200.0,0.02,BF
PG-2045-1,KSrPH2CO7,"['KH2PO4_PG', 'SrCO3_PG']",200.0,0.02,BF
PG-2046-1,KTiP(HO3)2,"['KH2PO4_PG', 'TiO2_PG']",200.0,0.02,BF
PG-2047-1,K2V2P2H4O11,"['KH2PO4_PG', 'V2O3_PG']",200.0,0.02,BF
PG-2048-1,K2V2P2H4O13,"['KH2PO4_PG', 'V2O5_PG']",200.0,0.02,BF
PG-2141-1,La2Sb2(H2O3)3,"['La(OH)3_PG', 'Sb2O3_PG']",200.0,0.02,BF
PG-2143-1,LaSiH3O5,"['La(OH)3_PG', 'SiO2_PG']",200.0,0.02,BF
PG-2144-1,LaSnH3O5,"['La(OH)3_PG', 'SnO2_PG']",200.0,0.02,BF
PG-2145-1,SrLaH3CO6,"['La(OH)3_PG', 'SrCO3_PG']",200.0,0.02,BF
PG-2146-1,LaTiH3O5,"['La(OH)3_PG', 'TiO2_PG']",200.0,0.02,BF
PG-2147-1,La2V2(H2O3)3,"['V2O3_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-2148-1,La2V2H6O11,"['La(OH)3_PG', 'V2O5_PG']",200.0,0.02,BF
PG-2241-1,Li2Sb2CO6,"['Li2CO3_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2243-1,Li2Si2CO7,"['Li2CO3_PG', 'SiO2_PG']",400.0,0.02,BF
PG-2244-1,Li2Sn2CO7,"['Li2CO3_PG', 'SnO2_PG']",400.0,0.02,BF
PG-2245-1,Sr2Li2(CO3)3,"['Li2CO3_PG', 'SrCO3_PG']",400.0,0.02,BF
PG-2246-1,Li2Ti2CO7,"['Li2CO3_PG', 'TiO2_PG']",400.0,0.02,BF
PG-2247-1,Li2V2CO6,"['Li2CO3_PG', 'V2O3_PG']",400.0,0.02,BF
PG-2248-1,Li2V2CO8,"['V2O5_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-2441-1,Li2Sb2H6O7,"['LiOH(H2O)_PG', 'Sb2O3_PG']",200.0,0.02,BF
PG-2443-1,LiSiH3O4,"['LiOH(H2O)_PG', 'SiO2_PG']",200.0,0.02,BF
PG-2444-1,LiSnH3O4,"['LiOH(H2O)_PG', 'SnO2_PG']",200.0,0.02,BF
PG-2445-1,SrLiH3CO5,"['LiOH(H2O)_PG', 'SrCO3_PG']",200.0,0.02,BF
PG-2446-1,LiTiH3O4,"['LiOH(H2O)_PG', 'TiO2_PG']",200.0,0.02,BF
PG-2447-1,Li2V2H6O7,"['LiOH(H2O)_PG', 'V2O3_PG']",200.0,0.02,BF
PG-2448-1,Li2V2(H2O3)3,"['LiOH(H2O)_PG', 'V2O5_PG']",200.0,0.02,BF
PG-0917-1,Hf3Co3O10,"['Co3O4_PG', 'HfO2_PG']",500.0,0.02,BF
PG-0918-1,In6Co6O17,"['Co3O4_PG', 'In2O3_PG']",500.0,0.02,BF
PG-0919-1,K12Co12H18C6O43,"['Co3O4_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-0920-1,K3Co3P3(H3O8)2,"['Co3O4_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-0921-1,La3Co3H9O13,"['Co3O4_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-0922-1,Li6Co6C3O17,"['Co3O4_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1017-1,Hf2Cr2O7,"['Cr2O3_PG', 'HfO2_PG']",1100.0,0.02,BF
PG-1018-1,CrInO3,"['Cr2O3_PG', 'In2O3_PG']",1100.0,0.02,BF
PG-1019-1,K4Cr4H6C2O15,"['Cr2O3_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1020-1,K2Cr2P2H4O11,"['Cr2O3_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1021-1,La2Cr2(H2O3)3,"['Cr2O3_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1022-1,Li2Cr2CO6,"['Cr2O3_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1024-1,Li2Cr2H6O7,"['Cr2O3_PG', 'LiOH(H2O)_PG']",200.0,0.02,BF
PG-1117-1,HfCuO3,"['CuO_PG', 'HfO2_PG']",800.0,0.02,BF
PG-1118-1,In2Cu2O5,"['CuO_PG', 'In2O3_PG']",800.0,0.02,BF
PG-1119-1,K4Cu4H6C2O13,"['CuO_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1120-1,KCuPH2O5,"['CuO_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1121-1,LaCuH3O4,"['CuO_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1122-1,Li2Cu2CO5,"['CuO_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1217-1,Hf3Fe3O10,"['Fe3O4_PG', 'HfO2_PG']",1000.0,0.02,BF
PG-1218-1,In6Fe6O17,"['Fe3O4_PG', 'In2O3_PG']",1000.0,0.02,BF
PG-1219-1,K12Fe12H18C6O43,"['Fe3O4_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1220-1,K3Fe3P3(H3O8)2,"['Fe3O4_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1221-1,La3Fe3H9O13,"['Fe3O4_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1222-1,Li6Fe6C3O17,"['Fe3O4_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1317-1,Hf2Fe2O7,"['Fe2O3_PG', 'HfO2_PG']",1000.0,0.02,BF
PG-1318-1,InFeO3,"['Fe2O3_PG', 'In2O3_PG']",1000.0,0.02,BF
PG-1319-1,K4Fe4H6C2O15,"['Fe2O3_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1320-1,K2Fe2P2H4O11,"['Fe2O3_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1321-1,La2Fe2(H2O3)3,"['Fe2O3_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1322-1,Li2Fe2CO6,"['Fe2O3_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1324-1,Li2Fe2H6O7,"['Fe2O3_PG', 'LiOH(H2O)_PG']",200.0,0.02,BF
PG-1417-1,HfFeH4(CO4)2,"['FeC2O4(H2O)2_PG', 'HfO2_PG']",200.0,0.02,BF
PG-1418-1,In2Fe2H8C4O15,"['FeC2O4(H2O)2_PG', 'In2O3_PG']",200.0,0.02,BF
PG-1419-1,K4Fe4H22C10O33,"['FeC2O4(H2O)2_PG', 'K2CO3(H2O)1.5_PG']",200.0,0.02,BF
PG-1420-1,KFePH6(CO5)2,"['FeC2O4(H2O)2_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1421-1,LaFeH7C2O9,"['FeC2O4(H2O)2_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1422-1,Li2Fe2H8(CO3)5,"['FeC2O4(H2O)2_PG', 'Li2CO3_PG']",200.0,0.02,BF
PG-1517-1,Hf2Ga2O7,"['Ga2O3_PG', 'HfO2_PG']",1100.0,0.02,BF
PG-1518-1,InGaO3,"['Ga2O3_PG', 'In2O3_PG']",1100.0,0.02,BF
PG-1519-1,K4Ga4H6C2O15,"['Ga2O3_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1520-1,K2Ga2P2H4O11,"['Ga2O3_PG', 'KH2PO4_PG']",200.0,0.02,BF
PG-1521-1,La2Ga2(H2O3)3,"['Ga2O3_PG', 'La(OH)3_PG']",200.0,0.02,BF
PG-1522-1,Li2Ga2CO6,"['Ga2O3_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-1617-1,HfGeO4,"['GeO2_PG', 'HfO2_PG']",700.0,0.02,BF
PG-1618-1,In2Ge2O7,"['GeO2_PG', 'In2O3_PG']",700.0,0.02,BF
PG-1619-1,K4Ge4H6C2O17,"['GeO2_PG', 'K2CO3(H2O)1.5_PG']",500.0,0.02,BF
PG-1622-1,Li2Ge2CO7,"['GeO2_PG', 'Li2CO3_PG']",400.0,0.02,BF
PG-2534-1,MgPH6NO5,"['MgO_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2535-1,Na2Mg2CO5,"['MgO_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2538-1,Mg2Nb2O7,"['MgO_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-2539-1,MgNiO2,"['MgO_PG', 'NiO_PG']",1100.0,0.02,BF
PG-2540-1,MgPbO2,"['MgO_PG', 'PbO_PG']",500.0,0.02,BF
PG-2541-1,Mg2Sb2O5,"['MgO_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2543-1,MgSiO3,"['MgO_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-2544-1,MgSnO3,"['MgO_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-2545-1,SrMgCO4,"['MgO_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-2546-1,MgTiO3,"['MgO_PG', 'TiO2_PG']",1100.0,0.02,BF
PG-2547-1,Mg2V2O5,"['MgO_PG', 'V2O3_PG']",1100.0,0.02,BF
PG-2548-1,Mg2V2O7,"['MgO_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2549-1,MgWO4,"['MgO_PG', 'WO3_PG']",900.0,0.02,BF
PG-2550-1,Y2Mg2O5,"['MgO_PG', 'Y2O3_PG']",1100.0,0.02,BF
PG-2551-1,MgZnO2,"['MgO_PG', 'ZnO_PG']",1100.0,0.02,BF
PG-2552-1,MgZrO3,"['MgO_PG', 'ZrO2_PG']",1100.0,0.02,BF
PG-2634-1,MnPH6NO5,"['MnO_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2635-1,Na2Mn2CO5,"['MnO_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2638-1,Mn2Nb2O7,"['MnO_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-2639-1,MnNiO2,"['MnO_PG', 'NiO_PG']",1100.0,0.02,BF
PG-2640-1,MnPbO2,"['MnO_PG', 'PbO_PG']",500.0,0.02,BF
PG-2641-1,Mn2Sb2O5,"['MnO_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2643-1,MnSiO3,"['MnO_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-2644-1,MnSnO3,"['MnO_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-2645-1,SrMnCO4,"['MnO_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-2646-1,TiMnO3,"['MnO_PG', 'TiO2_PG']",1100.0,0.02,BF
PG-2647-1,Mn2V2O5,"['MnO_PG', 'V2O3_PG']",1100.0,0.02,BF
PG-2648-1,Mn2V2O7,"['MnO_PG', 'V2O5_PG']",400.0,0.02,BF
PG-2649-1,MnWO4,"['MnO_PG', 'WO3_PG']",900.0,0.02,BF
PG-2650-1,Y2Mn2O5,"['MnO_PG', 'Y2O3_PG']",1100.0,0.02,BF
PG-2651-1,MnZnO2,"['MnO_PG', 'ZnO_PG']",1100.0,0.02,BF
PG-2652-1,ZrMnO3,"['MnO_PG', 'ZrO2_PG']",1100.0,0.02,BF
PG-2734-1,Mn3PH6NO8,"['Mn3O4_PG', 'NH4H2PO4_PG']",200.0,0.02,BF
PG-2735-1,Na6Mn6C3O17,"['Mn3O4_PG', 'Na2CO3_PG']",500.0,0.02,BF
PG-2738-1,Mn6Nb6O23,"['Mn3O4_PG', 'Nb2O5_PG']",900.0,0.02,BF
PG-2739-1,Mn3Ni3O7,"['Mn3O4_PG', 'NiO_PG']",1000.0,0.02,BF
PG-2740-1,Mn3Pb3O7,"['Mn3O4_PG', 'PbO_PG']",500.0,0.02,BF
PG-2741-1,Mn6Sb6O17,"['Mn3O4_PG', 'Sb2O3_PG']",300.0,0.02,BF
PG-2743-1,Mn3Si3O10,"['Mn3O4_PG', 'SiO2_PG']",1000.0,0.02,BF
PG-2744-1,Mn3Sn3O10,"['Mn3O4_PG', 'SnO2_PG']",1000.0,0.02,BF
PG-2745-1,Sr3Mn3C3O13,"['Mn3O4_PG', 'SrCO3_PG']",900.0,0.02,BF
PG-2746-1,Ti3Mn3O10,"['Mn3O4_PG', 'TiO2_PG']",1000.0,0.02,BF
