NameJSON,Name_std,source
PG_1245_1,PG_1245_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
PG_1040_1,PG_1040_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
PG_1450_1,PG_1450_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_112,ARR_112,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_101,ARR_101,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_124,ARR_124,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_66,ARR_66,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_75,ARR_75,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_54,ARR_54,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_176,ARR_176,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_155,ARR_155,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_168,ARR_168,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_169,ARR_169,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_27,ARR_27,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_110,ARR_110,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_44,ARR_44,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_74,ARR_74,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_34,ARR_34,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_162,ARR_162,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_192,ARR_192,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_186,ARR_186,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_212,ARR_212,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_190,ARR_190,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_208,ARR_208,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_170,ARR_170,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_194,ARR_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
ARR_206,ARR_206,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_27,TRI_27,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_31,TRI_31,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_39,TRI_39,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_180,TRI_180,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_182,TRI_182,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_192,TRI_192,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_194,TRI_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_131,TRI_131,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_102,TRI_102,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_41,TRI_41,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_43,TRI_43,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_44,TRI_44,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_62,TRI_62,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_99,TRI_99,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json
TRI_11_,TRI_11_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_14,TRI_14,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_27,TRI_27,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_29,TRI_29,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_30,TRI_30,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_32,TRI_32,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_37,TRI_37,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_39_,TRI_39_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_41,TRI_41,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_43,TRI_43,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_44,TRI_44,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_62,TRI_62,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_63,TRI_63,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_64,TRI_64,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_77,TRI_77,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_79,TRI_79,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_80,TRI_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_81,TRI_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_83,TRI_83,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_85_,TRI_85_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_86,TRI_86,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_87,TRI_87,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_88,TRI_88,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_91,TRI_91,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_92,TRI_92,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_94,TRI_94,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_99,TRI_99,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_100,TRI_100,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_101,TRI_101,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_102_,TRI_102_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_103,TRI_103,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_105,TRI_105,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_114,TRI_114,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_126,TRI_126,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_130,TRI_130,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_131_,TRI_131_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_132,TRI_132,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_133,TRI_133,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_181,TRI_181,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_184,TRI_184,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_185,TRI_185,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_186,TRI_186,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_187,TRI_187,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_189,TRI_189,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_190,TRI_190,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_191,TRI_191,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_192,TRI_192,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_194,TRI_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_197,TRI_197,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_15,TRI_15,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_182,TRI_182,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_172,TRI_172,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_112,TRI_112,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_31,TRI_31,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38_,TRI_38_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_84,TRI_84,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_82_,TRI_82_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_180,TRI_180,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_11,TRI_11,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_24_,ARR_24_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_81,ARR_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_82,ARR_82,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_84,ARR_84,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_83,ARR_83,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1250_1,PG_1250_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1126_1,PG_1126_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1338_1_,PG_1338_1_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1346_1_,PG_1346_1_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_0638_1,PG_0638_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1051_1,PG_1051_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_0734_1,PG_0734_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1026_1,PG_1026_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_4851_1,PG_4851_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1651_1_,PG_1651_1_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_0849_1_,PG_0849_1_,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1048_1,PG_1048_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_85__,TRI_85__,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38__,TRI_38__,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_82,TRI_82,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_24,ARR_24,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_0849_1,PG_0849_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1651_1,PG_1651_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1338_1,PG_1338_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_1346_1,PG_1346_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
PG_0630_1,PG_0630_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_127,TRI_127,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_26,ARR_26,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_80,ARR_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_73,ARR_73,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_39,ARR_39,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_4,ARR_4,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
ARR_42,ARR_42,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_39,TRI_39,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_85,TRI_85,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38___,TRI_38___,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
TRI_38,TRI_38,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json
