chemist,Name_eval,Name_std,NameJSON,source,trust_prob,llm,signal,overshoot,ratio,balance,used_features,missing_features,selection
A,TRI-80,TRI_80,TRI_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9510749697976266,0.75,,,,0.9955555555555555,"llm,balance","signal,overshoot,ratio",aif
A,TRI-81,TRI_81,TRI_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9176425597620119,0.65,,,,0.9804,"llm,balance","signal,overshoot,ratio",aif
A,TRI-90,TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.887373511819249,0.6,,,,0.9501222222222222,"llm,balance","signal,overshoot,ratio",neither a nor b
A,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio",neither a nor b
A,TRI-114,TRI_114,TRI_114,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9609001651874622,0.85,,,,0.9639,"llm,balance","signal,overshoot,ratio",aif
A,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio",aif
A,PG_1048,PG_1048_1,PG_1048_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.8211656441524988,0.5,,,,0.9744,"llm,balance","signal,overshoot,ratio",aif
A,PG_0849,PG_0849_1,PG_0849_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9094292496042617,0.7,,,,0.8775000000000001,"llm,balance","signal,overshoot,ratio",aif
A,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio",neither a nor b
A,TRI_28,TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9669827170327978,0.85,,,,0.9991,"llm,balance","signal,overshoot,ratio",aif
A,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio",neither a nor b
A,TRI_111,TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9153119715716039,0.65,,,,0.9676,"llm,balance","signal,overshoot,ratio",aif
A,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio",neither a nor b
A,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI-80,TRI_80,TRI_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9510749697976266,0.75,,,,0.9955555555555555,"llm,balance","signal,overshoot,ratio",aif
B,TRI-81,TRI_81,TRI_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9176425597620119,0.65,,,,0.9804,"llm,balance","signal,overshoot,ratio",aif
B,TRI-90,TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.887373511819249,0.6,,,,0.9501222222222222,"llm,balance","signal,overshoot,ratio",aif
B,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI-114,TRI_114,TRI_114,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9609001651874622,0.85,,,,0.9639,"llm,balance","signal,overshoot,ratio",aif
B,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio",neither a nor b
B,PG_1048,PG_1048_1,PG_1048_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.8211656441524988,0.5,,,,0.9744,"llm,balance","signal,overshoot,ratio",both a & b
B,PG_0849,PG_0849_1,PG_0849_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9094292496042617,0.7,,,,0.8775000000000001,"llm,balance","signal,overshoot,ratio",aif
B,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI_28,TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9669827170327978,0.85,,,,0.9991,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI_111,TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9153119715716039,0.65,,,,0.9676,"llm,balance","signal,overshoot,ratio",neither a nor b
B,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio",neither a nor b
B,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio",neither a nor b
B,ARR_54,ARR_54,ARR_54,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9420773830329704,0.85,31628.674886716475,720.7112090755161,43.88536557838165,0.983125,"llm,signal,overshoot,ratio,balance",,aif
B,ARR_34,ARR_34,ARR_34,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9102142925715565,0.6,20648.373823099733,702.6526161619485,29.386318855376842,0.9951,"llm,signal,overshoot,ratio,balance",,aif
B,ARR_208,ARR_208,ARR_208,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9734475460457119,0.85,74752.3724072647,210.53028986249694,355.06706638786994,0.9991,"llm,signal,overshoot,ratio,balance",,both a & b
B,TRI-102,TRI_102,TRI_102,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9566640224658162,0.75,24587.814029398498,444.39973589776247,55.32814725851932,0.9981222222222222,"llm,signal,overshoot,ratio,balance",,dara
B,ARR_110,ARR_110,ARR_110,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.6087099821774234,0.75,10841.319905649716,1441.9056363608943,7.518744384002286,0.999920987654321,"llm,signal,overshoot,ratio,balance",,neither a nor b
B,ARR_194,ARR_194,ARR_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.963817854343268,0.75,69631.66636614045,304.33529571415363,228.79918085985616,0.99890625,"llm,signal,overshoot,ratio,balance",,neither a nor b
C,TRI-80,TRI_80,TRI_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9510749697976266,0.75,,,,0.9955555555555555,"llm,balance","signal,overshoot,ratio",both a & b
C,TRI-81,TRI_81,TRI_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9176425597620119,0.65,,,,0.9804,"llm,balance","signal,overshoot,ratio",dara
C,TRI-90,TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.887373511819249,0.6,,,,0.9501222222222222,"llm,balance","signal,overshoot,ratio",aif
C,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio",neither a nor b
C,TRI-114,TRI_114,TRI_114,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9609001651874622,0.85,,,,0.9639,"llm,balance","signal,overshoot,ratio",both a & b
C,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio",both a & b
C,PG_1048,PG_1048_1,PG_1048_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.8211656441524988,0.5,,,,0.9744,"llm,balance","signal,overshoot,ratio",both a & b
C,PG_0849,PG_0849_1,PG_0849_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9094292496042617,0.7,,,,0.8775000000000001,"llm,balance","signal,overshoot,ratio",both a & b
C,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio",neither a nor b
C,TRI_28,TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9669827170327978,0.85,,,,0.9991,"llm,balance","signal,overshoot,ratio",aif
C,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio",neither a nor b
C,TRI_111,TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9153119715716039,0.65,,,,0.9676,"llm,balance","signal,overshoot,ratio",both a & b
C,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio",neither a nor b
C,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio",neither a nor b
D,TRI-80,TRI_80,TRI_80,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9510749697976266,0.75,,,,0.9955555555555555,"llm,balance","signal,overshoot,ratio",aif
D,TRI-81,TRI_81,TRI_81,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9176425597620119,0.65,,,,0.9804,"llm,balance","signal,overshoot,ratio",dara
D,TRI-90,TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.887373511819249,0.6,,,,0.9501222222222222,"llm,balance","signal,overshoot,ratio",aif
D,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio",neither a nor b
D,TRI-114,TRI_114,TRI_114,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9609001651874622,0.85,,,,0.9639,"llm,balance","signal,overshoot,ratio",aif
D,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio",neither a nor b
D,PG_1048,PG_1048_1,PG_1048_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.8211656441524988,0.5,,,,0.9744,"llm,balance","signal,overshoot,ratio",both a & b
D,PG_0849,PG_0849_1,PG_0849_1,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9094292496042617,0.7,,,,0.8775000000000001,"llm,balance","signal,overshoot,ratio",both a & b
D,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio",neither a nor b
D,TRI_28,TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9669827170327978,0.85,,,,0.9991,"llm,balance","signal,overshoot,ratio",aif
D,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio",neither a nor b
D,TRI_111,TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9153119715716039,0.65,,,,0.9676,"llm,balance","signal,overshoot,ratio",aif
D,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio",neither a nor b
D,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio",neither a nor b
D,ARR_54,ARR_54,ARR_54,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9420773830329704,0.85,31628.674886716475,720.7112090755161,43.88536557838165,0.983125,"llm,signal,overshoot,ratio,balance",,neither a nor b
D,ARR_34,ARR_34,ARR_34,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9102142925715565,0.6,20648.373823099733,702.6526161619485,29.386318855376842,0.9951,"llm,signal,overshoot,ratio,balance",,aif
D,ARR_208,ARR_208,ARR_208,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9734475460457119,0.85,74752.3724072647,210.53028986249694,355.06706638786994,0.9991,"llm,signal,overshoot,ratio,balance",,dara
D,TRI-102,TRI_102,TRI_102,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.9566640224658162,0.75,24587.814029398498,444.39973589776247,55.32814725851932,0.9981222222222222,"llm,signal,overshoot,ratio,balance",,both a & b
D,ARR_110,ARR_110,ARR_110,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.6087099821774234,0.75,10841.319905649716,1441.9056363608943,7.518744384002286,0.999920987654321,"llm,signal,overshoot,ratio,balance",,neither a nor b
D,ARR_194,ARR_194,ARR_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,0.963817854343268,0.75,69631.66636614045,304.33529571415363,228.79918085985616,0.99890625,"llm,signal,overshoot,ratio,balance",,both a & b
