chemist,Name_eval,NameJSON,Name_std,source,selection,trust_prob,llm,signal,overshoot,ratio,balance,used_features,missing_features
A,TRI-90,TRI_90,TRI_90,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.887373511819249,0.6,,,,0.9501222222222222,"llm,balance","signal,overshoot,ratio"
A,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio"
A,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio"
A,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio"
A,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio"
A,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio"
B,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio"
B,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio"
B,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio"
B,TRI_28,TRI_28,TRI_28,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9669827170327978,0.85,,,,0.9991,"llm,balance","signal,overshoot,ratio"
B,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio"
B,TRI_111,TRI_111,TRI_111,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9153119715716039,0.65,,,,0.9676,"llm,balance","signal,overshoot,ratio"
B,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio"
B,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio"
B,ARR_110,ARR_110,ARR_110,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,neither a nor b,0.6087099821774234,0.75,10841.319905649716,1441.9056363608943,7.518744384002286,0.999920987654321,"llm,signal,overshoot,ratio,balance",
B,ARR_194,ARR_194,ARR_194,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,neither a nor b,0.963817854343268,0.75,69631.66636614045,304.33529571415363,228.79918085985616,0.99890625,"llm,signal,overshoot,ratio,balance",
C,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio"
C,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio"
C,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio"
C,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio"
C,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio"
D,TRI-106,TRI_106,TRI_106,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.41591277301405016,0.5,,,,0.375,"llm,balance","signal,overshoot,ratio"
D,TRI-183,TRI_183,TRI_183,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9665694939920013,0.85,,,,0.9964,"llm,balance","signal,overshoot,ratio"
D,ARR_46,ARR_46,ARR_46,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.6978174510348156,0.5,,,,0.7093,"llm,balance","signal,overshoot,ratio"
D,TRI_104,TRI_104,TRI_104,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9517282727371829,0.75,,,,0.9998222222222222,"llm,balance","signal,overshoot,ratio"
D,TRI_113,TRI_113,TRI_113,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.9600832231350609,0.8,,,,0.9951,"llm,balance","signal,overshoot,ratio"
D,ARR_45,ARR_45,ARR_45,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_second_evaluation.json,neither a nor b,0.22074909762867487,0.3,,,,0.364,"llm,balance","signal,overshoot,ratio"
D,ARR_54,ARR_54,ARR_54,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,neither a nor b,0.9420773830329704,0.85,31628.674886716475,720.7112090755161,43.88536557838165,0.983125,"llm,signal,overshoot,ratio,balance",
D,ARR_110,ARR_110,ARR_110,/Users/odartsi/Documents/GitHub/Automated_Interpretation_Framework/data/xrd_data/interpretations/interpretations_16_more_forevaluation.json,neither a nor b,0.6087099821774234,0.75,10841.319905649716,1441.9056363608943,7.518744384002286,0.999920987654321,"llm,signal,overshoot,ratio,balance",
